submissionId,userId,userName,projectName,firstLine,month,day,currentWeekOfIso,targetYear,reviewerDecision
cmqqxvxpu0029kj72luxi7bwg,cmpx2emsj0001788vfgr7eaal,Sergey Minchenkov,EIS,02/10:,2,10,2025-02-11T22:00:00.000Z,2025,
cmqqxvxpp0027kj72m4h4e3bk,cmpx2emsj0001788vfgr7eaal,Sergey Minchenkov,EIS,02/27:,2,27,2025-03-11T21:00:00.000Z,2025,
cmqqxvxpj0025kj7208uz0k0l,cmpx2emsj0001788vfgr7eaal,Sergey Minchenkov,EIS,03/24:,3,24,2025-03-25T21:00:00.000Z,2025,
cmqqxvxpe0023kj72kaovvz5e,cmpx2emsj0001788vfgr7eaal,Sergey Minchenkov,EIS,04/08:,4,8,2025-04-08T21:00:00.000Z,2025,
cmqqxvxp80021kj72ro104oi5,cmpx2emsj0001788vfgr7eaal,Sergey Minchenkov,EIS,04/23:,4,23,2025-05-06T21:00:00.000Z,2025,
cmqqxvxp2001zkj72qoatgfey,cmpx2emsj0001788vfgr7eaal,Sergey Minchenkov,EIS,05/04:,5,4,2025-05-06T21:00:00.000Z,2025,
cmqqxvxov001xkj72zfd3xqre,cmpx2emsj0001788vfgr7eaal,Sergey Minchenkov,EIS,05/20:,5,20,2025-05-20T21:00:00.000Z,2025,
cmqqxvxop001vkj72cjwcu2l2,cmpx2emsj0001788vfgr7eaal,Sergey Minchenkov,EIS,06/03:,6,3,2025-06-03T21:00:00.000Z,2025,
cmqqxvxqw002lkj720nyd6h9s,cmpx2emsj0001788vfgr7eaal,Sergey Minchenkov,EIS,10/07:,10,7,2025-10-07T21:00:00.000Z,2025,
cmqqxvxqq002jkj72c5l0me7h,cmpx2emsj0001788vfgr7eaal,Sergey Minchenkov,EIS,10/21:,10,21,2025-10-21T21:00:00.000Z,2025,
cmqqxvxqk002hkj7291c1ch2n,cmpx2emsj0001788vfgr7eaal,Sergey Minchenkov,EIS,11/03:,11,3,2025-11-04T22:00:00.000Z,2025,
cmqqxvxqe002fkj72s8efbrch,cmpx2emsj0001788vfgr7eaal,Sergey Minchenkov,EIS,11/18:,11,18,2025-11-18T22:00:00.000Z,2025,
cmqqxvxq7002dkj72a7zsqk2p,cmpx2emsj0001788vfgr7eaal,Sergey Minchenkov,EIS,12/29:,12,29,2025-12-30T22:00:00.000Z,2025,
cmqqxvxwi003skj72foe78jzh,import-garrett-hayes,Garrett Hayes,Esri,"03/24: Contract moving to GSA, scheduled for 04/02.",3,24,2025-03-25T21:00:00.000Z,2025,
cmqqxvxwf003qkj72llu7vvpd,import-garrett-hayes,Garrett Hayes,Esri,04/21: Contract transferred to GSA. EPA SF-30 notifying Esri of transfer to GSA sent out 03/31. COR working with GSA/Esri to confirm details for GSA SF-30 to go out.,4,21,2025-04-22T21:00:00.000Z,2025,
cmqqxvxw9003okj72h0vcc4lp,import-garrett-hayes,Garrett Hayes,Esri,"05/05: COR has confirmed all details with GSA, and GSA COR Designation letter has been signed. GSA SF-30 notifying Esri of transfer to GSA has not gone out.",5,5,2025-05-06T21:00:00.000Z,2025,
cmqqxvxw5003mkj72dha44f4o,import-garrett-hayes,Garrett Hayes,Esri,"05/19: No changes. No update from GSA. Funding for OP3 approved, and COR will begin process of submitting for EO Compliance Review/SRO approval.",5,19,2025-05-20T21:00:00.000Z,2025,
cmqqxvxw1003kkj72maonkw1g,import-garrett-hayes,Garrett Hayes,Esri,"06/02: No changes. No update from GSA. Funding for OP3 approved, and COR will begin process of submitting for EO Compliance Review/SRO approval. Waiting for OCPO to confirm if ITOD should include IA fees in funding package.",6,2,2025-06-03T21:00:00.000Z,2025,
cmqqxvxvw003ikj72nl4b7wan,import-garrett-hayes,Garrett Hayes,Esri,06/16: No update from GSA. Funding for OP3 approved. COR submitted for EO Compliance Review and waiting on approval to submit for SRO approval. Waiting for OCPO to confirm if ITOD should include IA fees in funding package.,6,16,2025-06-17T21:00:00.000Z,2025,
cmqqxvxwq003wkj72zck79unl,import-garrett-hayes,Garrett Hayes,Esri,10/07: Option Period awarded.,10,7,2025-10-07T21:00:00.000Z,2025,
cmqqxvxwm003ukj72qay69h7b,import-garrett-hayes,Garrett Hayes,Esri,10/21: No updates until next option period exercise.,10,21,2025-10-21T21:00:00.000Z,2025,
cmqqxvycj0093kj72ue70f7jy,demo-admin,Demo Administrator,FY26 Out of Cycle Requests (OCR),10/8.  No change.,10,8,2025-10-21T21:00:00.000Z,2025,
